Entity,Code,Year,agriculture_ha
Asia,,2000,1495737698
Asia,,2010,1490852583
Australia,AUS,1780,0
Australia,AUS,1790,0
Australia,AUS,1800,0
Australia,AUS,1810,0
Australia,AUS,1820,4358.764959
Australia,AUS,1830,339440.135
Australia,AUS,1840,2060099.601
Australia,AUS,1850,22336999.97
Australia,AUS,1860,32554996.2
Australia,AUS,1870,47067433.34
Australia,AUS,1880,67459524.42
Australia,AUS,1890,97070347.16
Australia,AUS,1900,139469474.3
Australia,AUS,1910,201167816.7
Australia,AUS,1920,291439533.3
Australia,AUS,1930,323818103.4
Australia,AUS,1940,359698408.6
Australia,AUS,1950,399289469.7
Australia,AUS,1960,440264892
Australia,AUS,1970,448811454.9
Australia,AUS,1980,444135003.2
Australia,AUS,1990,420564969.5
Australia,AUS,2000,397085695.8
Australia,AUS,2010,356157326
Austria,AUT,1780,3042301.806
Austria,AUT,1790,3168334.536
Austria,AUT,1800,3299574.89
Austria,AUT,1810,3435470.595
Austria,AUT,1820,3578088.239
Austria,AUT,1830,3735428.502
Austria,AUT,1840,3838084.577
Austria,AUT,1850,3940054.588
Austria,AUT,1860,3967736.074
Austria,AUT,1870,3995675.247
Austria,AUT,1880,4038865.968
Austria,AUT,1890,4033540.052
Austria,AUT,1900,4032095.085
Austria,AUT,1910,4023596.375
Austria,AUT,1920,3986848.774
Austria,AUT,1930,3859233.927
Austria,AUT,1940,3770357.224
Austria,AUT,1950,3686796.276
Austria,AUT,1960,3758234.982
Austria,AUT,1970,3405500.242
Austria,AUT,1980,2872546.073
Austria,AUT,1990,2540767.017
Austria,AUT,2000,2275118.075
Austria,AUT,2010,2125092.111
Azerbaijan,AZE,1780,775806.9679
Azerbaijan,AZE,1790,836381.1155
Azerbaijan,AZE,1800,902866.2306
Azerbaijan,AZE,1810,976442.6831
Azerbaijan,AZE,1820,1057159.067
Azerbaijan,AZE,1830,1150154.707
Azerbaijan,AZE,1840,1253083.168
Azerbaijan,AZE,1850,1362424.64
Azerbaijan,AZE,1860,1482966.38
Azerbaijan,AZE,1870,1615477.356
Azerbaijan,AZE,1880,1773680.367
Azerbaijan,AZE,1890,1944316.188
Azerbaijan,AZE,1900,2121583.706
Azerbaijan,AZE,1910,2310812.277
Azerbaijan,AZE,1920,2487950.827
Azerbaijan,AZE,1930,2708885.612
Azerbaijan,AZE,1940,2970251.266
Azerbaijan,AZE,1950,3192785.887
Azerbaijan,AZE,1960,4164878.977
Azerbaijan,AZE,1970,4176416.677
Azerbaijan,AZE,1980,4161054.907
Azerbaijan,AZE,1990,4201077.116
Azerbaijan,AZE,2000,4304985.715
Azerbaijan,AZE,2010,4296124.839
Bahamas,BHS,1780,0
Bahamas,BHS,1790,0
Bahamas,BHS,1800,0
Bahamas,BHS,1810,0
Bahamas,BHS,1820,0
Bahamas,BHS,1830,0
Bahamas,BHS,1840,0
Bahamas,BHS,1850,0
Bahamas,BHS,1860,0
Bahamas,BHS,1870,0
Bahamas,BHS,1880,0
Bahamas,BHS,1890,0
Bahamas,BHS,1900,0
Bahamas,BHS,1910,0
Bahamas,BHS,1920,0
Bahamas,BHS,1930,0
Bahamas,BHS,1940,0
Bahamas,BHS,1950,0
Bahamas,BHS,1960,0
Bahamas,BHS,1970,0
Bahamas,BHS,1980,0
Bahamas,BHS,1990,0
Bahamas,BHS,2000,0
Bahamas,BHS,2010,0
Bangladesh,BGD,1780,3515169.384
Bangladesh,BGD,1790,3816706.208
Bangladesh,BGD,1800,4146934.084
Bangladesh,BGD,1810,4506408.215
Bangladesh,BGD,1820,4960645.01
Bangladesh,BGD,1830,5463734.712
Bangladesh,BGD,1840,6018605.84
Bangladesh,BGD,1850,6626218.232
Bangladesh,BGD,1860,6699811.7
Bangladesh,BGD,1870,6774844.451
Bangladesh,BGD,1880,6850871.154
Bangladesh,BGD,1890,6927176.078
Bangladesh,BGD,1900,7003926.642
Bangladesh,BGD,1910,7081211.595
Bangladesh,BGD,1920,7175307.212
Bangladesh,BGD,1930,7464482.019
Bangladesh,BGD,1940,7755246.811
Bangladesh,BGD,1950,8041123.112
Bangladesh,BGD,1960,8642000.329
Bangladesh,BGD,1970,8887680.585
Bangladesh,BGD,1980,8921480.204
Bangladesh,BGD,1990,9057361.502
Bangladesh,BGD,2000,9122890.818
Bangladesh,BGD,2010,9144131.338
Belarus,BLR,1780,3049582.704
Belarus,BLR,1790,3246870.097
Belarus,BLR,1800,3460401.961
Belarus,BLR,1810,3684625.543
Belarus,BLR,1820,3929487.362
Belarus,BLR,1830,4193211.388
Belarus,BLR,1840,4493185.442
Belarus,BLR,1850,4801212.325
Belarus,BLR,1860,5153227.799
Belarus,BLR,1870,5513700.915
Belarus,BLR,1880,5926378.167
Belarus,BLR,1890,6371019.037
Belarus,BLR,1900,6843344.38
Belarus,BLR,1910,7405292.491
Belarus,BLR,1920,7820009.922
Belarus,BLR,1930,8354487.469
Belarus,BLR,1940,8990679.209
Belarus,BLR,1950,9477928.435
Belarus,BLR,1960,9811499.799
Belarus,BLR,1970,9595606.558
Belarus,BLR,1980,9530378.238
Belarus,BLR,1990,9361469.411
Belarus,BLR,2000,8818325.551
Belarus,BLR,2010,8220938.789
Belgium,BEL,1780,1017458.533
Belgium,BEL,1790,1034136.943
Belgium,BEL,1800,1049326.036
Belgium,BEL,1810,1064245.818
Belgium,BEL,1820,1080473.824
Belgium,BEL,1830,1121807.276
Belgium,BEL,1840,1105833.28
Belgium,BEL,1850,1147237.837
Belgium,BEL,1860,1180562.595
Belgium,BEL,1870,1212310.309
Belgium,BEL,1880,1284678.98
Belgium,BEL,1890,1357759.133
Belgium,BEL,1900,1439541.283
Belgium,BEL,1910,1531803.605
Belgium,BEL,1920,1513575.626
Belgium,BEL,1930,1582321.58
Belgium,BEL,1940,1586434.407
Belgium,BEL,1950,1596203.346
Belgium,BEL,1960,1643000.692
Belgium,BEL,1970,1524021.899
Belgium,BEL,1980,1412687.09
Belgium,BEL,1990,1242306.683
Belgium,BEL,2000,1169162.872
Belgium,BEL,2010,1223847.504
Belize,BLZ,1780,9341.377064
Belize,BLZ,1790,9930.237374
Belize,BLZ,1800,10637.29881
Belize,BLZ,1810,11373.76141
Belize,BLZ,1820,11609.2047
Belize,BLZ,1830,11933.04051
Belize,BLZ,1840,12227.29737
Belize,BLZ,1850,12551.13094
Belize,BLZ,1860,12933.46516
Belize,BLZ,1870,14641.52523
Belize,BLZ,1880,16437.58836
Belize,BLZ,1890,18440.4905
Belize,BLZ,1900,20326.88654
Belize,BLZ,1910,22390.1554
Belize,BLZ,1920,24866.2266
Belize,BLZ,1930,28020.28446
Belize,BLZ,1940,31278.52091
Belize,BLZ,1950,32599.79662
Belize,BLZ,1960,43130.80847
Belize,BLZ,1970,43233.56638
Belize,BLZ,1980,44753.70983
Belize,BLZ,1990,52374.79185
Belize,BLZ,2000,58364.41711
Belize,BLZ,2010,80713.78263
Benin,BEN,1780,1355703.317
Benin,BEN,1790,1286758.651
Benin,BEN,1800,1224206.943
Benin,BEN,1810,1167499.337
Benin,BEN,1820,1129481.048
Benin,BEN,1830,1095241.147
Benin,BEN,1840,1064280.266
Benin,BEN,1850,1036243.459
Benin,BEN,1860,1010871.061
Benin,BEN,1870,1030422.562
Benin,BEN,1880,1048972.115
Benin,BEN,1890,1066751.554
Benin,BEN,1900,1082808.301
Benin,BEN,1910,1101916.951
Benin,BEN,1920,1246022.897
Benin,BEN,1930,1416690.922
Benin,BEN,1940,1540999.556
Benin,BEN,1950,1579811.519
Benin,BEN,1960,1760743.85
Benin,BEN,1970,1984138.659
Benin,BEN,1980,2147117.887
Benin,BEN,1990,2327620.516
Benin,BEN,2000,2606547.061
Benin,BEN,2010,2936239.411
Bhutan,BTN,1780,92730.60057
Bhutan,BTN,1790,98738.95971
Bhutan,BTN,1800,100937.3474
Bhutan,BTN,1810,111537.7808
Bhutan,BTN,1820,117754.6584
Bhutan,BTN,1830,129052.8204
Bhutan,BTN,1840,138373.6993
Bhutan,BTN,1850,148905.6406
Bhutan,BTN,1860,150219.9746
Bhutan,BTN,1870,155112.534
Bhutan,BTN,1880,164123.6537
Bhutan,BTN,1890,174586.0005
Bhutan,BTN,1900,186795.3504
Bhutan,BTN,1910,202144.2899
Bhutan,BTN,1920,231103.9523
Bhutan,BTN,1930,261675.8462
Bhutan,BTN,1940,297926.0196
Bhutan,BTN,1950,339585.5922
Bhutan,BTN,1960,446688.77
Bhutan,BTN,1970,419143.9925
Bhutan,BTN,1980,452380.0986
Bhutan,BTN,1990,444140.129
Bhutan,BTN,2000,417882.7767
Bhutan,BTN,2010,427297.9095
Bolivia,BOL,1780,7728335.985
Bolivia,BOL,1790,7893357.022
Bolivia,BOL,1800,8062937.458
Bolivia,BOL,1810,8242443.121
Bolivia,BOL,1820,9805320.088
Bolivia,BOL,1830,11666150.3
Bolivia,BOL,1840,11847765.09
Bolivia,BOL,1850,12031747.5
Bolivia,BOL,1860,14372978.84
Bolivia,BOL,1870,12402591.81
Bolivia,BOL,1880,10428317.43
Bolivia,BOL,1890,17006246.07
Bolivia,BOL,1900,14920742.16
Bolivia,BOL,1910,17247976.56
Bolivia,BOL,1920,24772469.23
Bolivia,BOL,1930,25093480.17
Bolivia,BOL,1940,29225924.44
Bolivia,BOL,1950,23349871.14
Bolivia,BOL,1960,28602517.33
Bolivia,BOL,1970,28338828.8
Bolivia,BOL,1980,30661676.39
Bolivia,BOL,1990,28572948.25
Bolivia,BOL,2000,28093491.26
Bolivia,BOL,2010,28735687.79
Bosnia and Herzegovina,BIH,1780,799486.4179
Bosnia and Herzegovina,BIH,1790,805234.6055
Bosnia and Herzegovina,BIH,1800,811268.2961
Bosnia and Herzegovina,BIH,1810,817415.3975
Bosnia and Herzegovina,BIH,1820,838897.836
Bosnia and Herzegovina,BIH,1830,861221.2215
Bosnia and Herzegovina,BIH,1840,884165.6538
Bosnia and Herzegovina,BIH,1850,917458.3107
Bosnia and Herzegovina,BIH,1860,950802.5431
Bosnia and Herzegovina,BIH,1870,1026413.816
Bosnia and Herzegovina,BIH,1880,1106014.56
Bosnia and Herzegovina,BIH,1890,1190708.606
Bosnia and Herzegovina,BIH,1900,1282713.114
Bosnia and Herzegovina,BIH,1910,1387808.286
Bosnia and Herzegovina,BIH,1920,1549969.428
Bosnia and Herzegovina,BIH,1930,1736516.757
Bosnia and Herzegovina,BIH,1940,1940264.44
Bosnia and Herzegovina,BIH,1950,2186586.241
Bosnia and Herzegovina,BIH,1960,2513999.952
Bosnia and Herzegovina,BIH,1970,2454281.486
Bosnia and Herzegovina,BIH,1980,2400725.73
Bosnia and Herzegovina,BIH,1990,2378163.74
Bosnia and Herzegovina,BIH,2000,2062377.846
Bosnia and Herzegovina,BIH,2010,1968191.949
Botswana,BWA,1780,6367776.634
Botswana,BWA,1790,6775808.229
Botswana,BWA,1800,7211526.59
Botswana,BWA,1810,7676885.6
Botswana,BWA,1820,8173609.026
Botswana,BWA,1830,8704242.17
Botswana,BWA,1840,9271130.342
Botswana,BWA,1850,9877807.84
Botswana,BWA,1860,10547655.86
Botswana,BWA,1870,11265640.86
Botswana,BWA,1880,12068715.02
Botswana,BWA,1890,12906629.78
Botswana,BWA,1900,13839884.7
Botswana,BWA,1910,14861914.89
Botswana,BWA,1920,15973761.97
Botswana,BWA,1930,17158024.07
Botswana,BWA,1940,18550342.16
Botswana,BWA,1950,20270155.39
Botswana,BWA,1960,23004062.36
Botswana,BWA,1970,21407500.04
Botswana,BWA,1980,21354082.84
Botswana,BWA,1990,19009624.95
Botswana,BWA,2000,18896425.38
Botswana,BWA,2010,18848110.67
Brazil,BRA,1780,833719.4168
Brazil,BRA,1790,939563.8502
Brazil,BRA,1800,1158386.921
Brazil,BRA,1810,1495668.142
Brazil,BRA,1820,2433734.999
Brazil,BRA,1830,3849890.606
Brazil,BRA,1840,5448676.052
Brazil,BRA,1850,7275246.249
Brazil,BRA,1860,9701525.661
Brazil,BRA,1870,12853234.55
Brazil,BRA,1880,16965473.01
Brazil,BRA,1890,22262805.17
Brazil,BRA,1900,28862010.36
Brazil,BRA,1910,37542378.96
Brazil,BRA,1920,52251734.43
Brazil,BRA,1930,73471594.79
Brazil,BRA,1940,102052724.8
Brazil,BRA,1950,122457648.8
Brazil,BRA,1960,144899035
Brazil,BRA,1970,187841394.6
Brazil,BRA,1980,211134370.1
Brazil,BRA,1990,219304495
Brazil,BRA,2000,225299538.2
Brazil,BRA,2010,228707068
Brunei,BRN,1780,0
Brunei,BRN,1790,0
Brunei,BRN,1800,0
Brunei,BRN,1810,0
Brunei,BRN,1820,0
Brunei,BRN,1830,0
Brunei,BRN,1840,0
Brunei,BRN,1850,0
Brunei,BRN,1860,0
Brunei,BRN,1870,0
Brunei,BRN,1880,0
Brunei,BRN,1890,0
Brunei,BRN,1900,3169.130071
Brunei,BRN,1910,3599.885615
Brunei,BRN,1920,4092.177665
Brunei,BRN,1930,5322.90779
Brunei,BRN,1940,7032.440747
Brunei,BRN,1950,8491.867844
Brunei,BRN,1960,21083.45773
Brunei,BRN,1970,24743.97398
Brunei,BRN,1980,20680.87662
Brunei,BRN,1990,31743.8232
Brunei,BRN,2000,39771.09473
Brunei,BRN,2010,48183.71341
Bulgaria,BGR,1780,2615801.971
Bulgaria,BGR,1790,2687125.12
Bulgaria,BGR,1800,2759944.719
Bulgaria,BGR,1810,2835491.935
Bulgaria,BGR,1820,2911795.652
Bulgaria,BGR,1830,2975215.58
Bulgaria,BGR,1840,3064812.566
Bulgaria,BGR,1850,3156265.373
Bulgaria,BGR,1860,3159683.975
Bulgaria,BGR,1870,3160191.739
Bulgaria,BGR,1880,3392737.098
Bulgaria,BGR,1890,3624105.375
Bulgaria,BGR,1900,3500664.408
Bulgaria,BGR,1910,3785413.667
Bulgaria,BGR,1920,4017439.313
Bulgaria,BGR,1930,4420499.839
Bulgaria,BGR,1940,5064160.137
Bulgaria,BGR,1950,5322411.303
Bulgaria,BGR,1960,5548790.751
Bulgaria,BGR,1970,5847394.035
Bulgaria,BGR,1980,5973797.481
Bulgaria,BGR,1990,5880660.951
Bulgaria,BGR,2000,4020041.42
Bulgaria,BGR,2010,3838518.951
Burkina Faso,BFA,1780,2538724.522
Burkina Faso,BFA,1790,2572400.984
Burkina Faso,BFA,1800,2606318.545
Burkina Faso,BFA,1810,2641286.55
Burkina Faso,BFA,1820,2689510.429
Burkina Faso,BFA,1830,2739414.873
Burkina Faso,BFA,1840,2790409.811
Burkina Faso,BFA,1850,2842938.753
Burkina Faso,BFA,1860,2896520.149
Burkina Faso,BFA,1870,2984060.425
Burkina Faso,BFA,1880,3074229.137
Burkina Faso,BFA,1890,3167162.862
Burkina Faso,BFA,1900,3261236.576
Burkina Faso,BFA,1910,3359595.975
Burkina Faso,BFA,1920,4006700.704
Burkina Faso,BFA,1930,4763563.676
Burkina Faso,BFA,1940,5652335.57
Burkina Faso,BFA,1950,6583778.936
Burkina Faso,BFA,1960,7601600.466
Burkina Faso,BFA,1970,6894797.304
Burkina Faso,BFA,1980,7391306.472
Burkina Faso,BFA,1990,8097481.702
Burkina Faso,BFA,2000,9177871.101
Burkina Faso,BFA,2010,10075600.29
Burundi,BDI,1780,516809.4541
Burundi,BDI,1790,514315.3834
Burundi,BDI,1800,511975.4591
Burundi,BDI,1810,509943.6007
Burundi,BDI,1820,512379.1002
Burundi,BDI,1830,515153.4693
Burundi,BDI,1840,517989.5968
Burundi,BDI,1850,520980.0624
Burundi,BDI,1860,524186.1443
Burundi,BDI,1870,553754.0574
Burundi,BDI,1880,585262.3172
Burundi,BDI,1890,618648.565
Burundi,BDI,1900,653882.8987
Burundi,BDI,1910,692877.5789
Burundi,BDI,1920,819884.2398
Burundi,BDI,1930,933837.9414
Burundi,BDI,1940,1105429.307
Burundi,BDI,1950,1308177.744
Burundi,BDI,1960,1575684.357
Burundi,BDI,1970,1854324.783
Burundi,BDI,1980,2044684.699
Burundi,BDI,1990,2023829.78
Burundi,BDI,2000,2091378.375
Burundi,BDI,2010,2120191.567
Cambodia,KHM,1780,434814.5697
Cambodia,KHM,1790,464045.8794
Cambodia,KHM,1800,494879.7978
Cambodia,KHM,1810,528633.0717
Cambodia,KHM,1820,564626.9103
Cambodia,KHM,1830,608621.8878
Cambodia,KHM,1840,659261.0082
Cambodia,KHM,1850,715170.7401
Cambodia,KHM,1860,775762.3906
Cambodia,KHM,1870,841454.1267
Cambodia,KHM,1880,952402.7685
Cambodia,KHM,1890,1083956.026
Cambodia,KHM,1900,1234490.972
Cambodia,KHM,1910,1408304.693
Cambodia,KHM,1920,1597218.312
Cambodia,KHM,1930,1872866.163
Cambodia,KHM,1940,2199779.604
Cambodia,KHM,1950,2586269.476
Cambodia,KHM,1960,3474375.061
Cambodia,KHM,1970,3404589.78
Cambodia,KHM,1980,2716512.832
Cambodia,KHM,1990,4039724.05
Cambodia,KHM,2000,4895221.546
Cambodia,KHM,2010,5823069.652
Cameroon,CMR,1780,2312375.206
Cameroon,CMR,1790,2344992.294
Cameroon,CMR,1800,2378292.452
Cameroon,CMR,1810,2412271.09
Cameroon,CMR,1820,2460778.389
Cameroon,CMR,1830,2511420.475
Cameroon,CMR,1840,2563660.322
Cameroon,CMR,1850,2617557.337
Cameroon,CMR,1860,2673721.332
Cameroon,CMR,1870,2762897.387
Cameroon,CMR,1880,2855967.835
Cameroon,CMR,1890,2954613.431
Cameroon,CMR,1900,3058625.524
Cameroon,CMR,1910,3180655.948
Cameroon,CMR,1920,3773125.293
Cameroon,CMR,1930,4489276.728
Cameroon,CMR,1940,5346605.91
Cameroon,CMR,1950,6368881.257
Cameroon,CMR,1960,7661369.972
Cameroon,CMR,1970,8088931.367
Cameroon,CMR,1980,8848787.81
Cameroon,CMR,1990,9046364.596
Cameroon,CMR,2000,9092612.972
Cameroon,CMR,2010,9266553.747
Canada,CAN,1780,11346.0604
Canada,CAN,1790,15656.58376
Canada,CAN,1800,33745.98791
Canada,CAN,1810,128716.4187
Canada,CAN,1820,127485.1371
Canada,CAN,1830,276096.9435
Canada,CAN,1840,587626.3263
Canada,CAN,1850,1783183.551
Canada,CAN,1860,4008094.688
Canada,CAN,1870,9892773.692
Canada,CAN,1880,12812769.11
Canada,CAN,1890,17137929.13
Canada,CAN,1900,29099665.36
Canada,CAN,1910,31251305.73
Canada,CAN,1920,45871380.91
Canada,CAN,1930,55242364.8
Canada,CAN,1940,57203577.24
Canada,CAN,1950,61804679.46
Canada,CAN,1960,61939462.32
Canada,CAN,1970,61229205.55
Canada,CAN,1980,58137277.6
Canada,CAN,1990,59509385.87
Canada,CAN,2000,59256664.46
Canada,CAN,2010,59864535.95
Cape Verde,CPV,1780,0
Cape Verde,CPV,1790,0
Cape Verde,CPV,1800,0
Cape Verde,CPV,1810,0
Cape Verde,CPV,1820,0
Cape Verde,CPV,1830,0
Cape Verde,CPV,1840,0
Cape Verde,CPV,1850,0
Cape Verde,CPV,1860,0
Cape Verde,CPV,1870,0
Cape Verde,CPV,1880,0
Cape Verde,CPV,1890,0
Cape Verde,CPV,1900,0
Cape Verde,CPV,1910,0
Cape Verde,CPV,1920,0
Cape Verde,CPV,1930,0
Cape Verde,CPV,1940,0
Cape Verde,CPV,1950,0
Cape Verde,CPV,1960,0
Cape Verde,CPV,1970,0
Cape Verde,CPV,1980,0
Cape Verde,CPV,1990,0
Cape Verde,CPV,2000,0
Cape Verde,CPV,2010,0
Cayman Islands,CYM,1780,0
Cayman Islands,CYM,1790,0
Cayman Islands,CYM,1800,0
Cayman Islands,CYM,1810,0
Cayman Islands,CYM,1820,0
Cayman Islands,CYM,1830,0
Cayman Islands,CYM,1840,0
Cayman Islands,CYM,1850,0
Cayman Islands,CYM,1860,0
Cayman Islands,CYM,1870,0
Cayman Islands,CYM,1880,0
Cayman Islands,CYM,1890,0
Cayman Islands,CYM,1900,0
Cayman Islands,CYM,1910,0
Cayman Islands,CYM,1920,0
Cayman Islands,CYM,1930,0
Cayman Islands,CYM,1940,0
Cayman Islands,CYM,1950,0
Cayman Islands,CYM,1960,0
Cayman Islands,CYM,1970,0
Cayman Islands,CYM,1980,0
Cayman Islands,CYM,1990,0
Cayman Islands,CYM,2000,0
Cayman Islands,CYM,2010,0
Central African Republic,CAF,1780,834560.4396
Central African Republic,CAF,1790,854254.3457
Central African Republic,CAF,1800,875752.3392
Central African Republic,CAF,1810,898407.9234
Central African Republic,CAF,1820,926860.7871
Central African Republic,CAF,1830,957706.2075
Central African Republic,CAF,1840,990113.5671
Central African Republic,CAF,1850,1023599.3
Central African Republic,CAF,1860,1059665.541
Central African Republic,CAF,1870,1208599.161
Central African Republic,CAF,1880,1380229.726
Central African Republic,CAF,1890,1575512.277
Central African Republic,CAF,1900,1805086.138
Central African Republic,CAF,1910,2069744.807
Central African Republic,CAF,1920,2431126.03
Central African Republic,CAF,1930,2650310.504
Central African Republic,CAF,1940,3144072.775
Central African Republic,CAF,1950,3752076.385
Central African Republic,CAF,1960,4433323.049
Central African Republic,CAF,1970,4545322.381
Central African Republic,CAF,1980,4659621.364
Central African Republic,CAF,1990,4746804.015
Central African Republic,CAF,2000,4908994.923
Central African Republic,CAF,2010,5096358.448
Chad,TCD,1780,10593962.79
Chad,TCD,1790,11440725.74
Chad,TCD,1800,12347361.71
Chad,TCD,1810,13317202.13
Chad,TCD,1820,14356041.43
